service_date,gtfs_route_id,gtfs_route_long_name,peak_offpeak_ind,otp_numerator,otp_denominator,cancelled_numerator,ObjectId,otp_ratio,service_time
2024-12-17,CR-Fairmount,Fairmount Line,OFF_PEAK,41,43,0,10880,0.95,05:00:00
2024-12-17,CR-Fitchburg,Fitchburg Line,OFF_PEAK,29,29,0,10887,1.0,05:00:00
2024-12-17,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,27,30,0,10888,0.9,05:00:00
2024-12-17,CR-Franklin,Franklin Line,OFF_PEAK,17,18,0,10889,0.94,05:00:00
2024-12-17,CR-Greenbush,Greenbush Line,OFF_PEAK,20,20,0,10890,1.0,05:00:00
2024-12-17,CR-Haverhill,Haverhill Line,OFF_PEAK,31,31,0,10891,1.0,05:00:00
2024-12-17,CR-Lowell,Lowell Line,OFF_PEAK,26,26,0,10892,1.0,05:00:00
2024-12-17,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,21,22,0,10893,0.95,05:00:00
2024-12-17,CR-Needham,Needham Line,OFF_PEAK,17,26,0,10894,0.65,05:00:00
2024-12-17,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,18,23,0,10895,0.78,05:00:00
2024-12-17,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,22,0,10896,1.0,05:00:00
2024-12-17,CR-Fairmount,Fairmount Line,PEAK,14,14,0,10900,1.0,05:00:00
2024-12-17,CR-Fitchburg,Fitchburg Line,PEAK,8,9,0,10901,0.89,05:00:00
2024-12-17,CR-Franklin,Franklin Line,PEAK,4,8,0,10902,0.5,05:00:00
2024-12-17,CR-Greenbush,Greenbush Line,PEAK,6,6,0,10903,1.0,05:00:00
2024-12-17,CR-Needham,Needham Line,PEAK,7,8,0,10904,0.88,05:00:00
2024-12-17,CR-Middleborough,Middleborough/Lakeville Line,PEAK,6,6,0,10927,1.0,05:00:00
2024-12-17,CR-Providence,Providence/Stoughton Line,PEAK,3,7,0,10928,0.43,05:00:00
2024-12-17,CR-Providence,Providence/Stoughton Line,PEAK,10,10,0,10929,1.0,05:00:00
2024-12-17,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,18,18,0,11007,1.0,05:00:00
2024-12-17,CR-Providence,Providence/Stoughton Line,OFF_PEAK,31,32,0,11008,0.97,05:00:00
2024-12-17,CR-Lowell,Lowell Line,PEAK,11,11,0,11059,1.0,05:00:00
2024-12-18,CR-Providence,Providence/Stoughton Line,OFF_PEAK,29,32,0,11093,0.91,05:00:00
2024-12-18,CR-Fairmount,Fairmount Line,OFF_PEAK,37,43,2,11094,0.86,05:00:00
2024-12-17,CR-Newburyport,Newburyport/Rockport Line,PEAK,5,6,0,11148,0.83,05:00:00
2024-12-17,CR-Newburyport,Newburyport/Rockport Line,PEAK,6,8,0,11149,0.75,05:00:00
2024-12-16,CR-Newburyport,Newburyport/Rockport Line,PEAK,5,6,0,11203,0.83,05:00:00
2024-12-16,CR-Newburyport,Newburyport/Rockport Line,PEAK,7,8,0,11204,0.88,05:00:00
2024-12-16,CR-Haverhill,Haverhill Line,PEAK,11,12,0,11228,0.92,05:00:00
2024-12-16,CR-Kingston,Kingston/Plymouth Line,PEAK,7,8,0,11229,0.88,05:00:00
2024-12-16,CR-Fairmount,Fairmount Line,OFF_PEAK,39,43,0,11236,0.91,05:00:00
2024-12-16,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,26,30,0,11237,0.87,05:00:00
2024-12-16,CR-Franklin,Franklin Line,OFF_PEAK,17,18,0,11238,0.94,05:00:00
2024-12-16,CR-Greenbush,Greenbush Line,OFF_PEAK,18,20,0,11239,0.9,05:00:00
2024-12-16,CR-Haverhill,Haverhill Line,OFF_PEAK,29,31,0,11240,0.94,05:00:00
2024-12-16,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,13,17,0,11241,0.76,05:00:00
2024-12-16,CR-Lowell,Lowell Line,OFF_PEAK,26,26,0,11242,1.0,05:00:00
2024-12-16,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,18,22,0,11243,0.82,05:00:00
2024-12-16,CR-Needham,Needham Line,OFF_PEAK,23,25,0,11244,0.92,05:00:00
2024-12-16,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,21,21,0,11245,1.0,05:00:00
2024-12-16,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,21,23,0,11246,0.91,05:00:00
2024-12-16,CR-Providence,Providence/Stoughton Line,OFF_PEAK,24,25,0,11247,0.96,05:00:00
2024-12-16,CR-Providence,Providence/Stoughton Line,OFF_PEAK,32,32,0,11248,1.0,05:00:00
2024-12-16,CR-Fairmount,Fairmount Line,PEAK,13,14,0,11251,0.93,05:00:00
2024-12-17,CR-Providence,Providence/Stoughton Line,OFF_PEAK,23,25,0,11253,0.92,05:00:00
2024-12-16,CR-Fitchburg,Fitchburg Line,PEAK,9,9,0,11279,1.0,05:00:00
2024-12-16,CR-Greenbush,Greenbush Line,PEAK,6,6,0,11280,1.0,05:00:00
2024-12-16,CR-Fitchburg,Fitchburg Line,OFF_PEAK,29,29,0,11313,1.0,05:00:00
2024-12-16,CR-Franklin,Franklin Line,PEAK,8,8,0,11322,1.0,05:00:00
2024-12-16,CR-Needham,Needham Line,PEAK,8,8,0,11324,1.0,05:00:00
2024-12-15,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,17,17,0,11331,1.0,05:00:00
2024-12-15,CR-Providence,Providence/Stoughton Line,OFF_PEAK,15,20,0,11333,0.75,05:00:00
2024-12-16,CR-Lowell,Lowell Line,PEAK,11,11,0,11356,1.0,05:00:00
2024-12-15,CR-Newburyport,Newburyport/Rockport Line,PEAK,0,0,0,11386,,05:00:00
2024-12-15,CR-Worcester,Framingham/Worcester Line,PEAK,0,0,0,11410,,05:00:00
2024-12-15,CR-Haverhill,Haverhill Line,PEAK,0,0,0,11412,,05:00:00
2024-12-15,CR-Kingston,Kingston/Plymouth Line,PEAK,0,0,0,11414,,05:00:00
2024-12-15,CR-Lowell,Lowell Line,PEAK,0,0,0,11416,,05:00:00
2024-12-15,CR-Fairmount,Fairmount Line,OFF_PEAK,33,33,0,11424,1.0,05:00:00
2024-12-15,CR-Fitchburg,Fitchburg Line,OFF_PEAK,15,16,0,11426,0.94,05:00:00
2024-12-15,CR-Worcester,Framingham/Worcester Line,OFF_PEAK,19,20,0,11428,0.95,05:00:00
2024-12-15,CR-Franklin,Franklin Line,OFF_PEAK,20,20,0,11430,1.0,05:00:00
2024-12-15,CR-Needham,Needham Line,PEAK,0,0,0,11461,,05:00:00
2024-12-16,CR-Worcester,Framingham/Worcester Line,PEAK,17,17,0,11535,1.0,05:00:00
2024-12-16,CR-Middleborough,Middleborough/Lakeville Line,PEAK,6,6,0,11536,1.0,05:00:00
2024-12-16,CR-Providence,Providence/Stoughton Line,PEAK,6,7,0,11537,0.86,05:00:00
2024-12-16,CR-Providence,Providence/Stoughton Line,PEAK,10,10,0,11538,1.0,05:00:00
2024-12-13,CR-Franklin,Franklin Line,OFF_PEAK,16,18,0,11635,0.89,05:00:00
2024-12-13,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,22,22,0,11636,1.0,05:00:00
2024-12-15,CR-Greenbush,Greenbush Line,OFF_PEAK,12,16,0,11651,0.75,05:00:00
2024-12-15,CR-Haverhill,Haverhill Line,OFF_PEAK,16,16,0,11652,1.0,05:00:00
2024-12-15,CR-Kingston,Kingston/Plymouth Line,OFF_PEAK,17,17,0,11653,1.0,05:00:00
2024-12-15,CR-Lowell,Lowell Line,OFF_PEAK,15,18,0,11654,0.83,05:00:00
2024-12-15,CR-Middleborough,Middleborough/Lakeville Line,OFF_PEAK,15,20,0,11655,0.75,05:00:00
2024-12-15,CR-Needham,Needham Line,OFF_PEAK,14,16,0,11656,0.88,05:00:00
2024-12-15,CR-Newburyport,Newburyport/Rockport Line,OFF_PEAK,16,18,0,11657,0.89,05:00:00
2024-12-15,CR-Fairmount,Fairmount Line,PEAK,0,0,0,11658,,05:00:00
2024-12-15,CR-Fitchburg,Fitchburg Line,PEAK,0,0,0,11659,,05:00:00
2024-12-15,CR-Franklin,Franklin Line,PEAK,0,0,0,11660,,05:00:00
2024-12-15,CR-Greenbush,Greenbush Line,PEAK,0,0,0,11661,,05:00:00
2024-12-15,CR-Middleborough,Middleborough/Lakeville Line,PEAK,0,0,0,11675,,05:00:00
2024-12-15,CR-Providence,Providence/Stoughton Line,PEAK,0,0,0,11676,,05:00:00
2024-12-14,CR-Fairmount,Fairmount Line,PEAK,0,0,0,11706,,05:00:00
2024-12-14,CR-Worcester,Framingham/Worcester Line,PEAK,0,0,0,11714,,05:00:00
2024-12-14,CR-Middleborough,Middleborough/Lakeville Line,PEAK,0,0,0,11715,,05:00:00
